Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Resource Transfer Rate,0.0021238314480869387,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,0.4593378431291209,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Ratio,0.0046024005136131784,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.2809288194444444,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Resource Shared,5.798239919901401,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,2145632.0,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,2080808.1234191896,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Rate,2.702345938120517e-06,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,0.9697879801471966,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Ratio,2.786524955233984e-06,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.5820399305555556,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Resource Shared,2.6120963095930527,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,953616.0,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,448314.7643983109,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Rate,2.7391489966538447e-06,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,0.470120849900076,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Ratio,5.826444493445584e-06,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.2586848958333333,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Resource Shared,12626.153179500747,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,770384.0,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,664060.880244332,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Rate,0.016389428102739342,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,0.8619868536266745,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Ratio,0.018658778069998196,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.20898003472222224,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Resource Shared,46.21018518369709,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,3686400.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,6508891.3478432475,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Rate,1.2535314991237276e-05,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,1.765649779688381,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Ratio,7.099497386743135e-06,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,1.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Resource Shared,13.905593782893487,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,1479600.0,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,3525712.802047207,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
