Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Total Source Stockpile,3507636.006358919,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Rate,0.0034326670191531634,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,0.9515071631833005,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Ratio,0.003594642207379092,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,1.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Resource Shared,2.0650537297041764,Parent Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,729384.0,Parent Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,739288.4459676613,Parent Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Rate,2.831229818181063e-06,Parent Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,1.0135791928088103,Parent Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Ratio,2.793291269018365e-06,Parent Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.19785807291666666,Parent Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Resource Shared,10451.523726854724,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,1458768.0,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,1399445.0275920779,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Rate,0.007164623659728432,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,0.9593335112862894,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Ratio,0.0074129720489616874,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.3957161458333333,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Resource Shared,2.6120963095930527,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,953616.0,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,448314.7643983109,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Rate,2.7391489966538447e-06,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,0.470120849900076,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Ratio,5.826444493445584e-06,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.2586848958333333,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Resource Shared,10449.458673125027,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,729384.0,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,660156.5816237452,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Rate,0.014326416089638692,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,0.9050878297628481,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Ratio,0.015582112365852182,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.19785807291666666,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Resource Shared,3.186143610308348,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,1192016.0,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,1632493.3590187489,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Rate,2.6729033924950233e-06,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,1.3695230257133704,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Ratio,1.951700063163975e-06,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.3233550347222222,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Resource Shared,46.21018518369709,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,3686400.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,6508891.3478432475,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Rate,1.2535314991237276e-05,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,1.765649779688381,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Ratio,7.099497386743135e-06,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,1.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Resource Shared,2.4754944350056225,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,534512.0,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,1439902.1313597963,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Rate,4.631316855385141e-06,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,2.693863058939362,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Ratio,1.7192072469396778e-06,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,0.14499565972222223,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Resource Shared,5.9312093655900515,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,1069024.0,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,2510950.868593272,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Rate,5.5482471540302664e-06,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,2.3488255348741207,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Ratio,2.3621311868273666e-06,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,0.28999131944444445,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Resource Shared,2.7458944538068533,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,172568.0,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,502710.55307289923,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Rate,1.591195617847372e-05,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,2.9131157171254185,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Ratio,5.462148026414507e-06,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,0.04681206597222222,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Resource Shared,2.7458944538068533,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,345136.0,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,818178.2713447503,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Rate,7.95597808923686e-06,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,2.370596725188767,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Ratio,3.356096506702576e-06,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,0.09362413194444444,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
