Genotype,Seed,Cold,Cell Age,Border Age,Update
Wild Type,1,False,48,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,128,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,96,0,7168
Wild Type,1,False,72,8,7168
Wild Type,1,False,72,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,1064,16,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,120,0,7168
Wild Type,1,False,664,664,7168
Wild Type,1,True,664,440,7168
Wild Type,1,True,440,440,7168
Wild Type,1,True,440,440,7168
Wild Type,1,True,440,440,7168
Wild Type,1,False,440,432,7168
Wild Type,1,False,440,304,7168
Wild Type,1,True,440,440,7168
Wild Type,1,True,304,72,7168
Wild Type,1,False,304,304,7168
Wild Type,1,True,168,152,7168
Wild Type,1,True,176,64,7168
Wild Type,1,False,176,0,7168
Wild Type,1,True,176,176,7168
Wild Type,1,True,272,272,7168
Wild Type,1,True,272,176,7168
Wild Type,1,False,696,416,7168
Wild Type,1,False,696,400,7168
Wild Type,1,False,400,16,7168
Wild Type,1,False,400,400,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,216,0,7168
Wild Type,1,False,216,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,120,0,7168
Wild Type,1,False,8,0,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,120,8,7168
Wild Type,1,False,192,8,7168
Wild Type,1,True,280,0,7168
Wild Type,1,False,208,208,7168
Wild Type,1,False,208,80,7168
Wild Type,1,False,80,8,7168
Wild Type,1,False,80,80,7168
Wild Type,1,False,200,0,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,88,0,7168
Wild Type,1,False,88,0,7168
Wild Type,1,False,88,16,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,112,0,7168
Wild Type,1,True,488,440,7168
Wild Type,1,False,488,488,7168
Wild Type,1,False,856,16,7168
Wild Type,1,False,856,488,7168
Wild Type,1,True,72,72,7168
Wild Type,1,True,72,64,7168
Wild Type,1,False,64,24,7168
Wild Type,1,True,64,64,7168
Wild Type,1,True,64,64,7168
Wild Type,1,True,152,16,7168
Wild Type,1,True,152,152,7168
Wild Type,1,True,152,152,7168
Wild Type,1,True,152,64,7168
Wild Type,1,True,256,88,7168
Wild Type,1,True,256,64,7168
Wild Type,1,True,256,152,7168
Wild Type,1,True,64,64,7168
Wild Type,1,True,64,64,7168
Wild Type,1,True,1448,272,7168
Wild Type,1,True,1448,80,7168
Wild Type,1,True,80,80,7168
Wild Type,1,False,120,0,7168
Wild Type,1,True,696,104,7168
Wild Type,1,False,696,416,7168
Wild Type,1,False,416,416,7168
Wild Type,1,False,416,416,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,48,0,7168
Wild Type,1,False,160,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,288,0,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,0,7168
Wild Type,1,True,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,True,24,24,7168
Wild Type,1,False,24,24,7168
Wild Type,1,False,1376,0,7168
Wild Type,1,False,1376,208,7168
Wild Type,1,False,1376,24,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,104,8,7168
Wild Type,1,False,168,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,312,0,7168
Wild Type,1,False,16,16,7168
Wild Type,1,True,16,16,7168
Wild Type,1,True,88,0,7168
Wild Type,1,True,88,24,7168
Wild Type,1,True,88,16,7168
Wild Type,1,False,24,24,7168
Wild Type,1,True,24,24,7168
