Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Reproduction Rate,7.772370911057042e-05,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,2.382882402032446,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,0.4013671875,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Incidence,125.0,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,808840.0,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,2076404.1585290544,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Rate,0.00015454230750210177,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,2.56713831972832,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,0.2194118923611111,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Incidence,8492.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,3686400.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,6508891.3478432475,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Rate,0.0023036024305555557,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,1.765649779688381,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,1.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Incidence,398.0,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,2717168.0,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,6021649.967497443,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Rate,0.0001464760368148013,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,2.2161493023241268,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,0.7370789930555556,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Incidence,54.0,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,1034048.0,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,2321864.558680485,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Rate,5.222194714365291e-05,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,2.2454127455209862,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,0.2805034722222222,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Incidence,8139.0,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,2068720.0,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,3005689.60112979,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Rate,0.003934316872268842,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,1.4529223873360289,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,0.5611762152777777,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Incidence,8323.0,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,1172752.0,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,661313.9871064896,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Rate,0.0070969821411517526,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,0.5638992618272999,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,0.3181293402777778,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Incidence,8094.0,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,969232.0,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,487241.38033937395,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Rate,0.00835094177658187,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,0.5027087223073258,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,0.2629210069444444,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Incidence,228.0,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,808840.0,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,1426797.5881770928,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Rate,0.0002818851688838336,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,1.7640047329225716,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,0.2194118923611111,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Reproduction Incidence,12859.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Relationship Incidence,3686400.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Total Source Stockpile,3253700.7832419327,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Reproduction Rate,0.003488226996527778,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Mean Source Stockpile,0.8826228253151944,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Relationship Frequency,1.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Reproduction Incidence,1821.0,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Relationship Incidence,1971008.0,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Total Source Stockpile,1949704.9386194597,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Reproduction Rate,0.0009238927492937624,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Mean Source Stockpile,0.9891917935490164,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Relationship Frequency,0.5346701388888889,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Reproduction Incidence,12514.0,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Relationship Incidence,2317600.0,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Total Source Stockpile,1834526.5764973026,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Reproduction Rate,0.0053995512599240595,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Mean Source Stockpile,0.7915630723581734,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Relationship Frequency,0.6286892361111112,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Reproduction Incidence,12111.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1005
Relationship Incidence,3501200.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1005
